"Spending on tertiary education"
"Public, % of education spending, 2020"
"Category","Spending on tertiary education"
"Norway",91.694763
"Finland",90.355453
"Luxembourg",90.319023
"Austria",89.883797
"Iceland",89.682114
"Sweden",84.121521
"Belgium",83.723373
"Denmark",83.238228
"Germany",82.500366
"Slovenia",80.928543
"Poland",79.675079
"Czechia",75.010986
"Slovak Rep.",73.782372
"Hungary",73.309303
"France",72.556503
"Estonia",72.101807
"Ireland",70.37957
"Lithuania",69.735893
"Türkiye",68.80835
"Netherlands",68.466026
"OECD - Average",66.90044
"Mexico",66.899391
"Spain",65.806381
"Italy",61.431301
"Portugal",60.670971
"Latvia",58.125511
"New Zealand",57.86121
"Israel",56.695309
"Canada",51.033508
"Korea",43.263229
"Chile",39.71336
"United States",37.532001
"Australia",36.275318
"Japan",35.546391
"United Kingdom",24.665939
